title,description,category
Tempat sampah terpilah jembatan kecil,Mohon dipertimbangkan program taman baca di RT 09 RW 03 Kel. Anyelir untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Tiang lampu miring balai warga,"PJU di Jl. Kenanga 1 padam sejak 4 hari, terutama pada pagi. Menyebabkan area gelap dan menghambat akses darurat. Mohon perbaikan.",LIGHTING
Temuan dompet gang utama,Informasi umum: pinjam fasilitas. Lokasi RT 09 RW 05 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Tekanan air sangat kecil lapangan komplek,Pasokan listrik bermasalah tiap akhir pekan sejak 4 hari di Jl. Melati 5. Dampak: rawan kecelakaan. Mohon pengecekan meter/pompa.,UTILITIES
Sampah menumpuk taman,Tumpukan plastik setiap hari tidak diangkut sejak 10 hari. Area RT 03 RW 05 menjadi kotor dan mengakibatkan area gelap.,CLEANLINESS
Bau comberan pasar,"Setelah hujan 2 hari, tanah tebing mengalami masalah. Terjadi hambatan aliran dan rawan kecelakaan.",ENVIRONMENT
Temuan dompet samping pos ronda,Informasi umum: administrasi. Lokasi RT 09 RW 05 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Pohon tumbang/miring gang utama,"Setelah hujan 7 hari, saluran mengalami masalah. Terjadi longsor kecil dan mengganggu aktivitas warga.",ENVIRONMENT
Permohonan surat pengantar lapangan komplek,Informasi umum: barang hilang/temuan. Lokasi RT 02 RW 01 Kel. Teratai. Mohon tindak lanjut.,OTHER
Kucing hilang dicari pemilik taman,Informasi umum: administrasi. Lokasi RT 08 RW 02 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Program taman baca taman,Mohon dipertimbangkan program pelatihan APAR di RT 07 RW 02 Kel. Teratai untuk mencegah rawan kecelakaan.,SUGGESTION
Bau comberan jembatan kecil,"Setelah hujan 6 hari, saluran mengalami masalah. Terjadi hambatan aliran dan menyebabkan bau menyengat.",ENVIRONMENT
Program taman baca gang utama,Mohon dipertimbangkan program rak sepeda di RT 07 RW 04 Kel. Flamboyan untuk mencegah rawan kecelakaan.,SUGGESTION
Tiang lampu miring perempatan,"PJU di Jl. Anggrek 1 padam sejak 10 hari, terutama pada malam. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Kucing hilang dicari pemilik balai warga,Informasi umum: hewan liar masuk rumah. Lokasi RT 01 RW 01 Kel. Mawar. Mohon tindak lanjut.,OTHER
Tempat sampah terpilah depan masjid,Mohon dipertimbangkan program rak sepeda di RT 07 RW 05 Kel. Cempaka untuk mencegah menyebabkan banjir kecil.,SUGGESTION
Abu pembakaran sampah mengganggu pasar,Tumpukan sampah rumah tangga tiap akhir pekan tidak diangkut sejak 10 hari. Area RT 03 RW 03 menjadi kotor dan menyebabkan banjir kecil.,CLEANLINESS
Orang asing mencurigakan jembatan kecil,Kejadian keributan terjadi seminggu sekali pada pagi di RT 08 RW 05 Kel. Flamboyan. Kondisi rawan kecelakaan.,SECURITY
Bau menyengat dari tumpukan sampah balai warga,Tumpukan sampah rumah tangga setiap hari tidak diangkut sejak 6 hari. Area RT 06 RW 02 menjadi kotor dan mengakibatkan area gelap.,CLEANLINESS
Lampu jalan mati pasar,"PJU di Jl. Melati 7 padam sejak 6 hari, terutama pada pagi. Menyebabkan area gelap dan membahayakan pejalan kaki. Mohon perbaikan.",LIGHTING
Limbah rumah tangga ke parit balai warga,"Setelah hujan 10 hari, saluran mengalami masalah. Terjadi hambatan aliran dan rawan kecelakaan.",ENVIRONMENT
Lampu jalan mati depan masjid,"PJU di Jl. Melati 6 padam sejak 5 hari, terutama pada pagi. Menyebabkan area gelap dan menyebabkan banjir kecil. Mohon perbaikan.",LIGHTING
Tempat sampah terpilah pasar,Mohon dipertimbangkan program rak sepeda di RT 04 RW 03 Kel. Anyelir untuk mencegah mengundang nyamuk.,SUGGESTION
Lampu jalan mati balai warga,"PJU di Jl. Melati 7 padam sejak 4 hari, terutama pada sore. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Orang asing mencurigakan taman,Kejadian balap liar terjadi tiap akhir pekan pada pagi di RT 09 RW 03 Kel. Teratai. Kondisi mengganggu aktivitas warga.,SECURITY
Penutup got hilang balai warga,RT 01 RW 03 Jl. Anggrek 2 di Kel. Cempaka mengalami kerusakan parah selama 1 hari. Lubang berdiameter 40 cm mengakibatkan area gelap.,INFRASTRUCTURE
Pencurian motor taman,Kejadian balap liar terjadi setiap hari pada siang di RT 06 RW 05 Kel. Flamboyan. Kondisi mengganggu aktivitas warga.,SECURITY
Paving bergelombang taman,RT 01 RW 03 Jl. Kenanga 3 di Kel. Flamboyan mengalami kerusakan sedang selama 6 hari. Lubang berdiameter 160 cm membuat jalan licin.,INFRASTRUCTURE
Pohon tumbang/miring depan masjid,"Setelah hujan 4 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan mengganggu aktivitas warga.",ENVIRONMENT
Kabel listrik semrawut depan masjid,Pasokan air bermasalah tiap akhir pekan sejak 14 hari di Jl. Melati 2. Dampak: mengakibatkan area gelap. Mohon pengecekan meter/pompa.,UTILITIES
Penutup got hilang lapangan komplek,RT 02 RW 04 Jl. Melati 3 di Kel. Flamboyan mengalami kerusakan parah selama 1 hari. Lubang berdiameter 30 cm menghambat akses darurat.,INFRASTRUCTURE
Tekanan air sangat kecil lapangan komplek,Pasokan listrik bermasalah setiap hari sejak 2 hari di Jl. Kenanga 3. Dampak: membahayakan pejalan kaki. Mohon pengecekan meter/pompa.,UTILITIES
Kurang tempat sampah jembatan kecil,Tumpukan sampah rumah tangga hampir tiap hari tidak diangkut sejak 10 hari. Area RT 06 RW 02 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Listrik padam saat hujan perempatan,Pasokan air bermasalah tiap akhir pekan sejak 6 hari di Jl. Anggrek 2. Dampak: membuat jalan licin. Mohon pengecekan meter/pompa.,UTILITIES
Tekanan air sangat kecil gang utama,Pasokan listrik bermasalah seminggu sekali sejak 3 hari di Jl. Kenanga 3. Dampak: menghambat akses darurat. Mohon pengecekan meter/pompa.,UTILITIES
Abu pembakaran sampah mengganggu samping pos ronda,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 7 hari. Area RT 01 RW 05 menjadi kotor dan menyebabkan banjir kecil.,CLEANLINESS
Abu pembakaran sampah mengganggu samping pos ronda,Tumpukan daun kering seminggu sekali tidak diangkut sejak 5 hari. Area RT 06 RW 04 menjadi kotor dan menghambat akses darurat.,CLEANLINESS
Poster liar dan vandalisme jembatan kecil,Tumpukan plastik hampir tiap hari tidak diangkut sejak 14 hari. Area RT 04 RW 02 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
Keributan warga mabuk dekat sekolah,Kejadian aksi mencurigakan terjadi seminggu sekali pada sore di RT 02 RW 05 Kel. Cempaka. Kondisi mengundang nyamuk.,SECURITY
Limbah rumah tangga ke parit depan masjid,"Setelah hujan 1 hari, kali mengalami masalah. Terjadi genangan dan menyebabkan banjir kecil.",ENVIRONMENT
Permohonan surat pengantar depan masjid,Informasi umum: pinjam fasilitas. Lokasi RT 05 RW 04 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Lampu jalan mati depan masjid,"PJU di Jl. Melati 7 padam sejak 3 hari, terutama pada sore. Menyebabkan area gelap dan membahayakan pejalan kaki. Mohon perbaikan.",LIGHTING
Banjir genangan lapangan komplek,"Setelah hujan 1 hari, tanah tebing mengalami masalah. Terjadi longsor kecil dan membahayakan pejalan kaki.",ENVIRONMENT
Tempat sampah terpilah balai warga,Mohon dipertimbangkan program bank sampah di RT 02 RW 05 Kel. Anyelir untuk mencegah menghambat akses darurat.,SUGGESTION
Tiang lampu miring gang utama,"PJU di Jl. Kenanga 1 padam sejak 1 hari, terutama pada siang. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Eceng gondok menutup kali lapangan komplek,"Setelah hujan 3 hari, saluran mengalami masalah. Terjadi genangan dan menyebabkan bau menyengat.",ENVIRONMENT
Sampah menumpuk dekat sekolah,Tumpukan plastik setiap hari tidak diangkut sejak 5 hari. Area RT 07 RW 02 menjadi kotor dan mengganggu aktivitas warga.,CLEANLINESS
Paving bergelombang jembatan kecil,RT 03 RW 02 Jl. Anggrek 3 di Kel. Cempaka mengalami kerusakan sedang selama 5 hari. Lubang berdiameter 20 cm membuat jalan licin.,INFRASTRUCTURE
Bau menyengat dari tumpukan sampah perempatan,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 14 hari. Area RT 10 RW 04 menjadi kotor dan rawan kecelakaan.,CLEANLINESS
Poster liar dan vandalisme gang utama,Tumpukan ranting tiap akhir pekan tidak diangkut sejak 3 hari. Area RT 06 RW 05 menjadi kotor dan mengundang nyamuk.,CLEANLINESS
Kebocoran pipa air lapangan komplek,Pasokan listrik bermasalah seminggu sekali sejak 2 hari di Jl. Kenanga 4. Dampak: rawan kecelakaan. Mohon pengecekan meter/pompa.,UTILITIES
Usulan bank sampah samping pos ronda,Mohon dipertimbangkan program kerja bakti bulanan di RT 05 RW 04 Kel. Teratai untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Bau menyengat dari tumpukan sampah lapangan komplek,Tumpukan daun kering seminggu sekali tidak diangkut sejak 6 hari. Area RT 05 RW 04 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Tiang lampu miring pasar,"PJU di Jl. Anggrek 3 padam sejak 14 hari, terutama pada sore. Menyebabkan area gelap dan mengakibatkan area gelap. Mohon perbaikan.",LIGHTING
Usulan bank sampah depan masjid,Mohon dipertimbangkan program rak sepeda di RT 01 RW 02 Kel. Flamboyan untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Sampah menumpuk perempatan,Tumpukan sampah rumah tangga tiap akhir pekan tidak diangkut sejak 1 hari. Area RT 05 RW 02 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Poster liar dan vandalisme samping pos ronda,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 3 hari. Area RT 09 RW 01 menjadi kotor dan mengundang nyamuk.,CLEANLINESS
Panel PJU terbuka depan masjid,"PJU di Jl. Melati 3 padam sejak 2 hari, terutama pada sore. Menyebabkan area gelap dan mengundang nyamuk. Mohon perbaikan.",LIGHTING
Bahu jalan longsor lapangan komplek,RT 05 RW 02 Jl. Melati 7 di Kel. Flamboyan mengalami kerusakan ringan selama 1 hari. Lubang berdiameter 90 cm membuat jalan licin.,INFRASTRUCTURE
Marka jalan pudar taman,RT 06 RW 03 Jl. Anggrek 3 di Kel. Cempaka mengalami kerusakan sedang selama 5 hari. Lubang berdiameter 90 cm membahayakan pejalan kaki.,INFRASTRUCTURE
Tiang lampu miring samping pos ronda,"PJU di Jl. Kenanga 4 padam sejak 10 hari, terutama pada malam. Menyebabkan area gelap dan membuat jalan licin. Mohon perbaikan.",LIGHTING
Permohonan surat pengantar depan masjid,Informasi umum: pinjam fasilitas. Lokasi RT 04 RW 04 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Temuan dompet perempatan,Informasi umum: administrasi. Lokasi RT 02 RW 02 Kel. Anyelir. Mohon tindak lanjut.,OTHER
Banjir genangan pasar,"Setelah hujan 10 hari, tanah tebing mengalami masalah. Terjadi hambatan aliran dan menghambat akses darurat.",ENVIRONMENT
Pencurian motor gang utama,Kejadian keributan terjadi tiap akhir pekan pada sore di RT 08 RW 02 Kel. Anyelir. Kondisi mengganggu aktivitas warga.,SECURITY
Marka jalan pudar taman,RT 02 RW 04 Jl. Anggrek 5 di Kel. Cempaka mengalami kerusakan ringan selama 6 hari. Lubang berdiameter 110 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Paving bergelombang lapangan komplek,RT 06 RW 01 Jl. Kenanga 5 di Kel. Anyelir mengalami kerusakan parah selama 6 hari. Lubang berdiameter 30 cm mengakibatkan area gelap.,INFRASTRUCTURE
Temuan dompet samping pos ronda,Informasi umum: hewan liar masuk rumah. Lokasi RT 02 RW 01 Kel. Flamboyan. Mohon tindak lanjut.,OTHER
Tiang lampu miring perempatan,"PJU di Jl. Anggrek 1 padam sejak 6 hari, terutama pada malam. Menyebabkan area gelap dan menyebabkan bau menyengat. Mohon perbaikan.",LIGHTING
Air PDAM sering mati perempatan,Pasokan listrik bermasalah tiap akhir pekan sejak 3 hari di Jl. Anggrek 3. Dampak: mengganggu aktivitas warga. Mohon pengecekan meter/pompa.,UTILITIES
Kerja bakti rutin balai warga,Mohon dipertimbangkan program bank sampah di RT 06 RW 02 Kel. Anyelir untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Abu pembakaran sampah mengganggu lapangan komplek,Tumpukan daun kering tiap akhir pekan tidak diangkut sejak 6 hari. Area RT 03 RW 03 menjadi kotor dan menyebabkan banjir kecil.,CLEANLINESS
Sampah menumpuk dekat sekolah,Tumpukan sampah rumah tangga setiap hari tidak diangkut sejak 7 hari. Area RT 03 RW 02 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Penutup got hilang dekat sekolah,RT 02 RW 03 Jl. Kenanga 3 di Kel. Cempaka mengalami kerusakan sedang selama 7 hari. Lubang berdiameter 70 cm membuat jalan licin.,INFRASTRUCTURE
Penutup got hilang jembatan kecil,RT 07 RW 04 Jl. Melati 7 di Kel. Mawar mengalami kerusakan parah selama 4 hari. Lubang berdiameter 50 cm menyebabkan bau menyengat.,INFRASTRUCTURE
Panel PJU terbuka balai warga,"PJU di Jl. Melati 6 padam sejak 7 hari, terutama pada sore. Menyebabkan area gelap dan rawan kecelakaan. Mohon perbaikan.",LIGHTING
Marka jalan pudar depan masjid,RT 02 RW 05 Jl. Melati 7 di Kel. Teratai mengalami kerusakan sedang selama 10 hari. Lubang berdiameter 120 cm mengganggu aktivitas warga.,INFRASTRUCTURE
Kerja bakti rutin samping pos ronda,Mohon dipertimbangkan program bank sampah di RT 03 RW 03 Kel. Flamboyan untuk mencegah membahayakan pejalan kaki.,SUGGESTION
Listrik padam saat hujan dekat sekolah,Pasokan listrik bermasalah tiap akhir pekan sejak 7 hari di Jl. Kenanga 4. Dampak: mengakibatkan area gelap. Mohon pengecekan meter/pompa.,UTILITIES
Kap lampu pecah dekat sekolah,"PJU di Jl. Anggrek 1 padam sejak 5 hari, terutama pada sore. Menyebabkan area gelap dan rawan kecelakaan. Mohon perbaikan.",LIGHTING
Kap lampu pecah depan masjid,"PJU di Jl. Kenanga 1 padam sejak 4 hari, terutama pada siang. Menyebabkan area gelap dan menyebabkan banjir kecil. Mohon perbaikan.",LIGHTING
Balap liar gang utama,Kejadian keributan terjadi tiap akhir pekan pada pagi di RT 07 RW 05 Kel. Mawar. Kondisi menyebabkan bau menyengat.,SECURITY
Limbah rumah tangga ke parit depan masjid,"Setelah hujan 14 hari, pohon besar mengalami masalah. Terjadi genangan dan membahayakan pejalan kaki.",ENVIRONMENT
Abu pembakaran sampah mengganggu gang utama,Tumpukan plastik setiap hari tidak diangkut sejak 10 hari. Area RT 08 RW 03 menjadi kotor dan membahayakan pejalan kaki.,CLEANLINESS
Parkir liar tutup akses pasar,Kejadian aksi mencurigakan terjadi setiap hari pada sore di RT 08 RW 01 Kel. Flamboyan. Kondisi mengundang nyamuk.,SECURITY
